,First author,Year,Optional label,doi,concat_label,LiSTAR_affiliated,Host label,Carbon type,Carbon source,Sulfur loading method,Sulfur loading (wt%),Sulfur loading (mg/ cm2),Surface area (cm2/g),Pore volume,Typical pore widths,Pore method,SSA pore measurand,Host conductivity,Host conductivity units,Conductivity method,Conductivity measurand,Binder,Binder content (wt%),Conductive additive,Conductive additive content (wt%),Electrode solvent,Electrode thickness,Electrode thickness method,Sulfur present in XRD,Nitrogen content,Nitrogen units,Oxygen content,Oxygen units,Sulfur content,Sulfur units,Functionalisation method,Other functionalisation method,Electrolyte salt,Salt content,salt_units,LiNO3 content,LiNO3_units,Electrolyte solvent,Electrolyte volume (uL),E/S ratio (uL/g),Separator type,Cell type,Maximum voltage,Minimum voltage,Common voltage range,SEM Host,SEM S/C composite,SEM Electrode,SEM In-situ,SEM Post mortem,XPS Host,XPS S/C composite,XPS Electrode,XPS In-situ,XPS Post mortem,Raman Host,Raman S/C composite,Raman Electrode,Raman In-situ,Raman Post mortem,EDX Host,EDX S/C composite,EDX Electrode,EDX In-situ,EDX Post mortem,TEM Host,TEM S/C composite,TEM Electrode,TEM In-situ,TEM Post mortem,FTIR Host,FTIR S/C composite,FTIR Electrode,FTIR In-situ,FTIR Post mortem,CV (single rate),First cycle,Subsequent cycles,CV (multi rate),Linear peak current vs. v1/2,EIS,Rest time,Min/ Max frequency,ECM,KK/ error
0,Xie,2017.0,Multiporous carbon,10.1016/j.cclet.2016.07.030,Xie 2017 Multiporous carbon,False,NYMC-700,Nitrogen-doped multiporous carbon,Yeast powder,Thermal 155 degC for 24 hours,67,,1285,0.71,0.7,DFT,Carbon only,,,,,PVDF,10,Acetylene black,10,NMP,,,False,1.78,wt%,0.0,at%,0.0,at%,Surface treatment,,LiTFSI,1.0,M,0.1,M,1:1 DOL DME,0.0,0.0,,CR2016,3.0,1.5,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False
1,Xie,2017.0,Multiporous carbon,10.1016/j.cclet.2016.07.030,Xie 2017 Multiporous carbon,False,NYMC-800,Nitrogen-doped multiporous carbon,Yeast powder,Thermal 155 degC for 24 hours,67,,2150,1.41,0.7,DFT,Carbon only,,,,,PVDF,10,Acetylene black,10,NMP,,,False,1.56,wt%,0.0,at%,0.0,at%,Surface treatment,,LiTFSI,1.0,M,0.1,M,1:1 DOL DME,0.0,0.0,,CR2016,3.0,1.5,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False
2,Xie,2017.0,Multiporous carbon,10.1016/j.cclet.2016.07.030,Xie 2017 Multiporous carbon,False,NYMC-900,Nitrogen-doped multiporous carbon,Yeast powder,Thermal 155 degC for 24 hours,67,,1474,1.24,0.7,DFT,Carbon only,,,,,PVDF,10,Acetylene black,10,NMP,,,False,1.13,wt%,0.0,at%,0.0,at%,Surface treatment,,LiTFSI,1.0,M,0.1,M,1:1 DOL DME,0.0,0.0,,CR2016,3.0,1.5,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False
